Id,Name,Name_transcription,Sex,Birth,Party,Role,Afiliation,From,To,Periods
FornèJosep,Josep Maria Fornè i Febrer,,M,1905-05-15,JxCAT,member,Independent,2018-01-17,,XII
CaulaAnna,Anna Caula i Paretas,,F,1971-04-06,ERC,member,Independent,2018-01-17,,XII
JovéJosep,Josep Maria Jové i Lladó,,M,1905-06-01,ERC,member,ERC,2018-01-17,,XII
GranadosEva,Eva Maria Granados Galiano,,F,1975-01-06,PSC,member,PSOE,2018-01-17,,XII
PedretFerran,Ferran Pedret i Santos,,M,1979-08-18,PSC,member,PSOE,2018-01-17,,XII
SegoviaSusana,Susana Segovia Sánchez,,F,1905-05-26,CatenCumú-PODEM,member,CatenCumú-PODEM,2018-01-17,,XII
RibasMarta,Marta Ribas Frías,,F,1905-05-28,CatenCumú-PODEM,member,CatenCumú-PODEM,2018-01-17,,XII
RieraCarles,Carles Riera i Albert,,M,1905-05-13,CUP,member,CUP,2018-01-17,,XII
FernándezAlejandro,Alejandro Fernández Álvarez,,M,1976-05-30,PP,member,PP,2018-01-17,,XII
ArrimadasInés,Inés Arrimadas,,F,1981-07-03,C's,member,C's,2018-01-17,,XII
CarrizosaCarlos,Carlos Carrizosa Torres,,M,1964-03-22,C's,member,C's,2018-01-17,,XII
Espejo-Saavedra,José María Espejo Saavedra Conesa,,M,1976-07-20,C's,member,C's,2018-01-17,2019-05-20,XII
DePáramoFernando,Fernando de Páramo Goméz,,M,1987-11-25,C's,member,C's,2018-01-17,2018-07-31,XII
SierraSonia,Sonia Sierra Infante,,F,1973-04-22,C's,member,C's,2018-01-17,,XII
MartínIgnacio,Ignacio Martín Blanco,,M,1982-08-02,C's,member,C's,2018-01-17,,XII
MejíaDavid,David Mejía Ayra,,M,1905-06-06,C's,member,C's,2018-01-17,,XII
DelaCalleNoemí,Noemí de la Calle Sifré,,F,1905-06-01,C's,member,C's,2018-01-17,,XII
EspinosaAntonio,Antonio Espinosa Cerrato,,M,1905-05-12,C's,member,C's,2018-01-17,,XII
BeltránSusana,Susana Beltrán Garcia,,F,1905-05-19,C's,member,Independent,2018-01-17,,XII
GuilarteMaria,Maria Luz Guilarte Sánchez,,F,1905-05-24,C's,member,C's,2018-01-17,2019-07-18,XII
BarraMartin,Martin Eusebio Barra López,,M,1905-05-09,C's,member,C's,2018-01-17,,XII
NavarroBlanca,Blanca Victoria Navarro Pacheco,,F,?,C's,member,C's,2018-01-17,,XII
CanoJose,José María Cano Navarro,,M,1969-02-18,C's,member,C's,2018-01-17,,XII
SanzSergi,Sergi Sanz Jiménez,,M,1905-06-04,C's,member,C's,2018-01-17,,XII
DeRiveraCarmen,Carmen de Rivera Pla,,F,1956-04-18,C's,member,C's,2018-01-17,,XII
ValenciaElisabeth,Elisabeth Valencia Mimbrero,,F,1905-06-02,C's,member,C's,2018-01-17,,XII
ValleMaria,Maria Francisca Valle Fuentes,,F,1905-05-17,C's,member,C's,2018-01-17,,XII
FernándezMunia,Munia Fernández-Jordán Celorio,,F,1905-05-25,C's,member,C's,2018-01-17,,XII
GrageraDimas,Dimas Gragera Velaz,,M,1984-03-25,C's,member,C's,2018-01-17,,XII
RodriguezManuel,Manuel Rodriguez de l'Hotellerie de Fallois,,M,?,C's,member,C's,2018-01-17,,XII
PachaméMartí,Martí Pachamé Barrera,,M,?,C's,member,C's,2018-09-04,,XII
FeijóoJorge,Jorge Feijóo,,M,?,C's,member,C's,2019-05-28,,XII
LosadaManuel,Manuel Losada Seivane,,M,1970-08-14,C's,member,C's,2019-07-18,,XII
EscofetMercè,Mercè Escofet Sala,,F,?,C's,member,C's,2019-05-28,,XII
CastelJean,Jean Castel Sucarrat,,M,1966-03-18,C's,member,C's,2018-01-17,,XII
SánchezAlfonso,Alfonso Sánchez Fisac,,M,1986-05-08,C's,member,C's,2018-01-17,,XII
AmellòHéctor,Héctor Amellò Montiu,,M,1905-05-30,C's,member,C's,2018-01-17,,XII
DelCaminoMaria,Maria del Camino Fernández Riol,,F,1905-05-28,C's,member,C's,2018-01-17,,XII
SolerJorge,Jorge Soler Gonzaléz,,M,1905-05-28,C's,member,C's,2018-01-17,,XII
RivasJavier,Javier Rivas Escamilla,,M,1905-05-16,C's,member,C's,2018-01-17,,XII
BetranDavid,David Betran Román,,M,1989-08-26,C's,member,C's,2018-01-17,,XII
AlonsoMatías,Matías Alonso Ruiz,,M,1952-04-08,C's,member,C's,2018-01-17,,XII
DomínguezFrancisco,Francisco Javier Domínguez Serrano,,M,1905-05-21,C's,member,C's,2018-01-17,,XII
SánchezCarlos,Carlos Sánchez Martin,,M,1905-06-02,C's,member,C's,2018-01-17,,XII
FernándezMaialen,Maialen Fernández Cabezas,,F,1905-05-27,C's,member,C's,2018-01-17,,XII
PuigdemontCarles,Carles Puigdemont i Casamajò,,M,1962-12-29,JxCAT,member,PDECAT,2018-01-17,2020-01-07,XII
SànchezJordi,Jordi Sànchez i Picanyol,,M,1964-10-01,JxCAT,member,Independent,2018-01-17,2019-05-17,XII
PonsetiClara,Clara Ponseti i Obiols,,F,1957-03-19,JxCAT,member,Independent,2018-01-17,2018-01-29,XII
TurrullJordi,Jordi Turull Negre,,M,1966-09-06,JxCAT,member,PDECAT,2018-01-17,2019-05-17,XII
BorràsLaura,Laura Borràs i Castanyer,,F,1970-10-05,JxCAT,member,Independent,2018-01-17,2019-05-20,XII
RullJosep,Josep Rull i Andreu,,M,1968-09-02,JxCAT,member,PDECAT,2018-01-17,2019-05-17,XII
FornJoaquim,Joaquim Forn i Chiariello,,M,1964-04-01,JxCAT,member,PDECAT,2018-01-17,2018-01-23,XII
PujolEduard,Eduard Pujol i Bonell,,M,1969-10-13,JxCAT,member,Independent,2018-01-17,2020-10-27,XII
MadaulaAurora,Aurora Madaula i Giménez,,F,1978-11-12,JxCAT,member,Independent,2018-01-17,,XII
ArtadiElsa,Elsa Artadi i Vila,,F,1976-08-19,JxCAT,member,Independent,2018-01-17,,XII
TorraJoaquim,Joaquim Torra i Pla,,M,1962-12-28,JxCAT,member,,2018-01-17,2020-01-20,XII
FontLluís,Lluís Font i Espinós,,M,1905-05-11,JxCAT,member,Independent,2018-01-17,,XII
RieraJosep,Josep Riera i Font,,M,1905-05-16,JxCAT,member,Independent,2018-01-17,,XII
TarrésAnna,Anna Tarrés i Campa,,F,1967-10-19,JxCAT,member,Independent,2018-01-17,,XII
FerrerMaria,Maria Isabel Ferrer i Àlvarez,,F,1905-05-16,JxCAT,member,Independent,2018-01-17,2018-06-08,XII
DalmasesFrancesc,Francesc de Dalmases i Thió,,M,1905-05-23,JxCAT,member,Independent,2018-01-17,,XII
MorralAntoni,Antoni Morral i Berenguer,,M,1957-08-26,JxCAT,member,Independent,2018-01-23,,XII
ElGarbhiSawia,Sawia El Garbhi,,F,?,JxCAT,member,Independent,2018-01-29,,XII
ErraAnna,Anna Erra i Solà,,F,1965-10-07,JxCAT,member,PDECAT,2018-06-19,,XII
BuchMiquel,Miquel Buch i Moya,,M,1975-08-03,JxCAT,member,PDECAT,2019-05-28,,XII
FortMaria,Maria Elena Fort i Cisneros,,F,1905-05-23,JxCAT,member,Independent,2019-05-25,,XII
PuigJosep,Josep Puig i Boix,,M,1905-04-30,JxCAT,member,Independent,2019-05-28,,XII
FreixaGlòria,Glòria Freixa i Vilardell,,F,1905-05-22,JxCAT,member,,2019-05-28,,XII
MascarellFerran,Ferran Mascarell i Canalda,,M,1905-05-04,JxCAT,member,Independent,2020-02-04,,XII
SenserrichMaria,Maria Senserrich i Guitart,,F,1905-06-02,JxCAT,member,PDECAT,2015-10-26,2020-11-24,XII
VilanovaSantiago,Santiago Vilanova i Tané,,M,1947-01-09,JxCAT,member,Independent,2020-11-17,,XII
PuigLluís,Lluís Puig i Gordi,,M,1959-10-18,JxCAT,member,PDECAT,2018-01-17,2018-01-29,XII
MadrenasMarta,Marta Madrenas i Mir,,F,1967-11-01,JxCAT,member,PDECAT,2018-01-17,,XII
ClaraNarcis,Narcis Clara i Lloret,,M,1905-05-13,JxCAT,member,Independent,2018-01-17,,XII
GuinóLluís,Lluís Guinó i Subirós,,M,1969-05-29,JxCAT,member,PDECAT,2018-01-17,,XII
MunellJordi,Jordi Munell i Garcia,,M,1965-11-17,JxCAT,member,PDECAT,2018-01-17,,XII
TenFrancesc,Francesc Xavier Ten i Costa,,M,1968-05-15,JxCAT,member,Independent,2018-01-17,,XII
RoquerFerran,Ferran Roquer Padrosa,,M,1967-12-06,JxCAT,member,PDECAT,2018-01-29,,XII
SolsonaMarc,Marc Solsona i Aixalà,,M,1976-04-07,JxCAT,member,PDECAT,2018-01-17,,XII
GallardoImma,Imma Gallardo Barceló,,F,1966-09-12,JxCAT,member,PDECAT,2018-01-17,,XII
QuinquillàXavier,Xavier Quinquillà Durich,,M,1905-05-22,JxCAT,member,Independent,2018-01-17,,XII
MaciàMontserrat,Montserrat Macià Gou,,F,1905-05-15,JxCAT,member,Independent,2018-01-17,,XII
GeliAnna,Anna Geli España,,F,1905-05-31,JxCAT,member,Independent,2018-01-17,,XII
PallarèsTeresa,Teresa Pallarès Piqué,,F,1905-05-17,JxCAT,member,Independent,2018-01-17,,XII
BatetAlbert,Albert Batet Canadell,,M,1979-03-05,JxCAT,member,PDECAT,2018-01-17,,XII
SalesMònica,Mònica Sales de la Cruz,,F,1983-08-27,JxCAT,member,PDECAT,2018-01-17,,XII
RomevaRaül,Raül Romeva i Rueda,,M,1971-03-12,ERC,member,Independent,2018-01-17,2019-10-29,XII
JunquerasOriol,Oriol Junqueras i Vies,,M,1969-04-11,ERC,member,ERC,2018-01-17,2019-05-20,XII
ComínAntoni,Antoni Comín i Oliveres,,M,1971-03-07,ERC,member,ERC,2018-01-17,2020-01-07,XII
VergèsAlba,Alba Vergès i Bosch,,F,1978-09-03,ERC,member,ERC,2018-01-17,2018-06-14,XII
